product_id,ten_san_pham,loai,thanh_phan,quy_cach,cong_dung,trieu_chung,nguyen_nhan,doi_tuong_cay_trong,thoi_diem_xu_ly,huong_dan_su_dung,an_toan_su_dung,gia,url_img
sp11,PHÂN BÓN LÁ 6-30-30,phan_bon,"N: 6%; P2O5: 30%; K2O: 30%; Mg, Zn, B",Gói 500g,"Hỗ trợ ra hoa, tăng đậu trái, nuôi trái chắc và lên màu","Hoa ít, trái non rụng, trái lớn chậm",Cây thiếu lân và kali ở giai đoạn sinh sản,"Cây ăn trái, ớt, cà chua, dưa, hoa màu","Trước ra hoa, sau đậu trái, giai đoạn trái phát triển",Pha 20-40g/bình 16 lít; phun 7-10 ngày/lần,Không pha với dầu khoáng liều cao; bảo quản kín sau mở gói,Khoảng 60.000 - 85.000 VNĐ,IMG/sp11
sp12,NPK 30-10-10,phan_bon,N: 30%; P2O5: 10%; K2O: 10%; TE,Gói 500g,"Kích chồi, dưỡng lá, phục hồi tán sau thu hoạch","Lá nhỏ, chồi ra yếu, cây suy sau thu hoạch",Cây thiếu đạm hoặc mất sức sau nuôi trái,"Cây ăn trái, rau ăn lá, hoa kiểng, cà phê","Sau thu hoạch, sau cắt tỉa, giai đoạn cây cần ra đọt",Pha 20-30g/bình 16 lít; phun 2-3 lần cách 7 ngày,Không dùng quá nhiều khi cây chuẩn bị ra hoa vì dễ làm cây ra lá,Khoảng 55.000 - 75.000 VNĐ,IMG/sp12
sp13,UREA PHÚ MỸ,phan_bon,"Đạm tổng số N: 46,3%; Biuret thấp",Bao 50kg,"Cung cấp đạm nhanh, giúp cây xanh lá và phát triển thân lá","Lá vàng nhạt, cây còi, đẻ nhánh kém","Thiếu đạm, đất nghèo dinh dưỡng hoặc rửa trôi sau mưa","Lúa, bắp, rau màu, cây công nghiệp","Giai đoạn sinh trưởng thân lá, sau sạ, sau trồng",Bón 50-200kg/ha tùy cây; chia nhiều lần để giảm thất thoát,Không bón lúc trời nắng gắt; vùi nhẹ hoặc tưới nước sau bón,Khoảng 580.000 - 750.000 VNĐ/bao,IMG/sp13
sp14,PHÂN HỮU CƠ VI SINH,phan_bon,Hữu cơ: 22%; Acid humic; vi sinh Bacillus spp.; Trichoderma spp.,Bao 25kg,"Cải tạo đất, tăng hệ vi sinh có lợi, hạn chế nấm hại vùng rễ","Đất chai, rễ thâm, cây vàng lá sinh lý, kém hấp thu phân","Đất bạc màu, bón hóa học lâu năm, ít hữu cơ","Rau màu, cây ăn trái, hồ tiêu, cà phê, hoa kiểng","Bón lót, sau thu hoạch, đầu mùa mưa",Bón 500-2000kg/ha; cây ăn trái 2-10kg/gốc tùy tuổi,Không trộn trực tiếp với thuốc trừ nấm mạnh khi vừa bón,Khoảng 85.000 - 130.000 VNĐ/bao,IMG/sp14
sp15,TRICHODERMA NANO,phan_bon,Bào tử Trichoderma harzianum ≥ 10^8 CFU/g; hữu cơ nền,Gói 1kg,"Phân giải hữu cơ, đối kháng nấm bệnh trong đất, giúp rễ khỏe","Cây con chết rạp, rễ thối, đất có mùi yếm khí","Nấm Fusarium, Pythium, Rhizoctonia phát triển trong đất ẩm","Rau màu, tiêu, cà phê, cây ăn trái, vườn ươm","Trộn phân chuồng ủ hoai, bón lót, xử lý đất trước trồng",Trộn 1kg với 500-1000kg phân hữu cơ hoặc tưới 1kg/400 lít nước,Không dùng chung lúc với thuốc nấm hóa học mạnh; giữ ẩm sau bón,Khoảng 90.000 - 150.000 VNĐ,IMG/sp15
sp16,ABAMECTIN 3.6EC,thuoc_tru_sau,Abamectin: 36g/lít; phụ gia dung môi,Chai 100ml,"Diệt nhện đỏ, sâu tơ, bọ trĩ, sâu cuốn lá non","Lá xoăn, bạc màu, có chấm vàng; đọt non biến dạng","Nhện, bọ trĩ hoặc sâu non chích hút và ăn biểu bì lá","Rau màu, hoa, cam quýt, ớt, dưa, chè",Khi phát hiện mật số sâu nhện thấp đến trung bình,Pha 8-12ml/bình 16 lít; phun kỹ mặt dưới lá,Mang đồ bảo hộ; không phun gần ao cá; tuân thủ thời gian cách ly,Khoảng 45.000 - 70.000 VNĐ,IMG/sp16
sp17,EMAMECTIN BENZOATE 5WG,thuoc_tru_sau,Emamectin benzoate: 5% w/w,Gói 100g,"Trừ sâu tơ, sâu xanh da láng, sâu đục trái, sâu cuốn lá","Lá bị ăn khuyết, trái non bị đục lỗ, có phân sâu",Sâu non bộ cánh vảy gây hại mạnh vào giai đoạn non,"Rau cải, ớt, cà chua, bắp, cây ăn trái","Phun khi sâu tuổi nhỏ, trước khi sâu chui sâu vào trái",Pha 5-8g/bình 16 lít; phun đều tán lá,Luân phiên hoạt chất để tránh kháng thuốc; không phun khi cây đang ra hoa rộ,Khoảng 35.000 - 60.000 VNĐ,IMG/sp17
sp18,CHLORANTRANILIPROLE 35WG,thuoc_tru_sau,Chlorantraniliprole: 35% w/w,Gói 50g,"Đặc trị sâu đục thân, sâu cuốn lá, sâu keo, sâu đục trái","Lá bị cuốn, thân có lỗ đục, bông lúa bạc trắng","Sâu non đục vào thân, bẹ lá, trái hoặc cuốn lá làm tổ","Lúa, bắp, rau màu, cây ăn trái",Phun sớm khi trứng mới nở hoặc sâu tuổi 1-2,Pha 2-4g/bình 16 lít; lúa dùng theo khuyến cáo trên nhãn,Không lạm dụng một hoạt chất nhiều vụ; bảo quản xa trẻ em,Khoảng 80.000 - 130.000 VNĐ,IMG/sp18
sp19,DINOTEFURAN 20SG,thuoc_tru_sau,Dinotefuran: 20% w/w,Gói 100g,"Trừ rầy nâu, rệp sáp, bọ phấn, rệp mềm, côn trùng chích hút","Lá xoăn, mật ngọt, nấm bồ hóng, cây còi cọc",Côn trùng chích hút làm mất nhựa cây và truyền bệnh virus,"Lúa, xoài, cam quýt, rau màu, hoa kiểng","Khi thấy rầy, rệp, bọ phấn xuất hiện rải rác",Pha 8-12g/bình 16 lít; phun kỹ nơi côn trùng cư trú,Hạn chế phun lúc có ong hoạt động; không pha tùy tiện với thuốc kiềm,Khoảng 55.000 - 90.000 VNĐ,IMG/sp19
sp20,IMIDACLOPRID 100SL,thuoc_tru_sau,Imidacloprid: 100g/lít,Chai 100ml,"Trừ rầy, rệp, bọ trĩ, bọ phấn; tác động lưu dẫn","Đọt xoăn, lá vàng, cây lùn, có rầy rệp dưới lá",Côn trùng chích hút gây hại trực tiếp và truyền bệnh,"Lúa, rau màu, hoa, cây ăn trái","Giai đoạn cây con, ra đọt non, khi rầy rệp mới xuất hiện",Pha 10-15ml/bình 16 lít; phun đều thân lá,Độc với ong; không dùng sát ngày thu hoạch; đọc kỹ nhãn,Khoảng 35.000 - 55.000 VNĐ,IMG/sp20
sp21,PYMETROZINE 50WG,thuoc_tru_sau,Pymetrozine: 50% w/w,Gói 100g,"Trừ rầy nâu, rầy lưng trắng, rệp mềm bằng cơ chế ức chế chích hút","Lúa vàng từng chòm, cháy rầy; rau bị rệp bu kín đọt","Rầy rệp hút nhựa, mật số cao trong thời tiết nóng ẩm","Lúa, rau màu, dưa, hoa kiểng","Khi rầy tuổi nhỏ, mật số vừa phải, trước khi cháy rầy",Pha 6-10g/bình 16 lít; ruộng lúa phun đủ nước thuốc,Không phun trễ khi mật số quá cao; luân phiên với nhóm khác,Khoảng 60.000 - 95.000 VNĐ,IMG/sp21
sp22,CYPERMETHRIN 25EC,thuoc_tru_sau,Cypermethrin: 250g/lít,Chai 250ml,"Trừ sâu ăn lá, bọ xít, sâu khoang, sâu xanh","Lá bị cắn phá, búp non cụt, trái bị bọ xít chích",Sâu ăn lá và côn trùng miệng nhai gây hại ngoài tán,"Đậu, rau màu, bông, cây ăn trái","Khi sâu mới phát sinh, phun vào chiều mát",Pha 15-25ml/bình 16 lít; phun đều nơi sâu trú ẩn,Có thể ảnh hưởng thiên địch; không phun gần nguồn nước,Khoảng 45.000 - 75.000 VNĐ,IMG/sp22
sp23,LAMBDA-CYHALOTHRIN 2.5EC,thuoc_tru_sau,Lambda-cyhalothrin: 25g/lít,Chai 100ml,"Trừ sâu cuốn lá, sâu xanh, bọ nhảy, bọ xít","Lá bị thủng lỗ, sâu non bò trên lá, bọ nhảy cắn rau",Côn trùng miệng nhai phát sinh mạnh khi thời tiết khô nóng,"Rau cải, lúa, đậu, bắp, cây ăn trái",Phun khi sâu tuổi nhỏ hoặc bọ nhảy mới xuất hiện,Pha 10-15ml/bình 16 lít,"Đeo khẩu trang, kính, găng tay; tránh phun ngược chiều gió",Khoảng 30.000 - 50.000 VNĐ,IMG/sp23
sp24,SPIROTETRAMAT 100SC,thuoc_tru_sau,Spirotetramat: 100g/lít,Chai 100ml,"Trừ rệp sáp, rệp vảy, bọ phấn, côn trùng chích hút lưu dẫn hai chiều","Cành lá có rệp trắng, trái dính mật, nấm đen bám vỏ","Rệp sáp và rệp vảy hút nhựa, tiết mật tạo nấm bồ hóng","Cam quýt, xoài, mãng cầu, cà phê, hồ tiêu","Khi rệp mới xuất hiện, sau cắt tỉa tạo tán","Pha 12-20ml/bình 16 lít; phun kỹ cành, kẽ lá, chùm trái",Không pha với dầu khoáng liều cao nếu cây đang yếu,Khoảng 120.000 - 180.000 VNĐ,IMG/sp24
sp25,FIPRONIL 800WG,thuoc_tru_sau,Fipronil: 80% w/w,Gói 100g,"Trừ sâu đục thân, bọ trĩ, kiến, mối, một số côn trùng đất","Lúa có dảnh héo, bông bạc; cây con bị cắn gốc","Sâu đục thân, mối, kiến hoặc côn trùng đất phá rễ và thân","Lúa, mía, rau màu, vườn ươm",Xử lý sớm khi phát hiện ổ sâu hoặc trước giai đoạn mẫn cảm,Pha 3-5g/bình 16 lít hoặc xử lý theo nhãn cho từng cây,Độc với thủy sinh; không để thuốc chảy xuống ao hồ,Khoảng 70.000 - 110.000 VNĐ,IMG/sp25
sp26,METALAXYL + MANCOZEB 72WP,thuoc_tru_benh,Metalaxyl: 8%; Mancozeb: 64%,Gói 100g,"Phòng trị sương mai, thối rễ, chết cây con do nấm giả","Lá có vết vàng loang, mặt dưới có mốc trắng; cây con rũ","Nấm Phytophthora, Pythium, Peronospora phát triển khi ẩm cao","Dưa leo, cà chua, khoai tây, hồ tiêu, cây ăn trái","Trước và sau mưa, khi bệnh mới chớm",Pha 25-35g/bình 16 lít; phun hoặc tưới gốc tùy bệnh,Luân phiên hoạt chất; không phun gần ngày thu hoạch,Khoảng 35.000 - 60.000 VNĐ,IMG/sp26
sp27,HEXACONAZOLE 5SC,thuoc_tru_benh,Hexaconazole: 50g/lít,Chai 100ml,"Trừ lem lép hạt, khô vằn, phấn trắng, đốm lá","Lá có vết nâu, bẹ lúa khô vằn, bông lem lép","Nấm bệnh phát triển khi ruộng rậm, ẩm độ cao","Lúa, xoài, rau màu, hoa kiểng",Khi bệnh mới xuất hiện hoặc trước giai đoạn trổ lúa,Pha 15-20ml/bình 16 lít; phun đều vùng bệnh,Không dùng liên tục nhiều lần; mang bảo hộ khi pha phun,Khoảng 40.000 - 65.000 VNĐ,IMG/sp27
sp28,DIFENOCONAZOLE 250EC,thuoc_tru_benh,Difenoconazole: 250g/lít,Chai 100ml,"Trừ thán thư, đốm lá, rỉ sắt, phấn trắng","Lá, trái có đốm nâu đen lõm; vết bệnh lan nhanh sau mưa","Nấm Colletotrichum, Cercospora, Alternaria gây hại","Xoài, ớt, cà chua, thanh long, cây ăn trái",Phun phòng trước mưa hoặc khi bệnh mới chớm,Pha 8-12ml/bình 16 lít; phun 2 lần cách nhau 7 ngày,Không pha với dung dịch kiềm; tuân thủ thời gian cách ly,Khoảng 75.000 - 110.000 VNĐ,IMG/sp28
sp29,PROPICONAZOLE 250EC,thuoc_tru_benh,Propiconazole: 250g/lít,Chai 100ml,"Trị rỉ sắt, đốm lá, khô vằn, vàng lá do nấm","Lá có ổ rỉ màu cam nâu, đốm cháy lan rộng","Nấm bệnh phát sinh trong điều kiện ẩm, tán rậm","Cà phê, lúa, đậu, rau màu, cây công nghiệp",Khi bệnh xuất hiện 5-10% lá hoặc phun phòng mùa mưa,Pha 10-15ml/bình 16 lít,Luân phiên thuốc để hạn chế kháng; tránh phun lúc trời gió mạnh,Khoảng 60.000 - 90.000 VNĐ,IMG/sp29
sp30,AZOXYSTROBIN 250SC,thuoc_tru_benh,Azoxystrobin: 250g/lít,Chai 100ml,"Phòng trị nhiều bệnh nấm, xanh lá, kéo dài thời gian quang hợp","Đốm lá, cháy lá, thán thư, phấn trắng, lá già nhanh",Nấm gây hại trên lá và trái khi ẩm độ cao,"Rau màu, lúa, cây ăn trái, hoa, cà phê",Phun phòng đầu mùa bệnh hoặc khi vết bệnh mới xuất hiện,Pha 8-12ml/bình 16 lít,Không dùng quá 2 lần liên tiếp; tránh pha với thuốc kiềm mạnh,Khoảng 100.000 - 150.000 VNĐ,IMG/sp30
sp31,COPPER HYDROXIDE 77WP,thuoc_tru_benh,Copper hydroxide: 77% w/w,Gói 100g,"Phòng trị loét vi khuẩn, sẹo trái, thán thư, đốm lá","Lá có đốm vàng nâu, trái sẹo, vết bệnh có quầng vàng",Vi khuẩn và nấm phát triển qua vết thương sau mưa gió,"Cam quýt, xoài, ớt, cà chua, cây ăn trái","Phun phòng trước mưa, sau cắt tỉa, sau mưa đá/gió mạnh",Pha 20-30g/bình 16 lít; phun phủ đều bề mặt lá,Không pha với phân bón lá chứa lân cao; có thể gây xót lá non,Khoảng 45.000 - 70.000 VNĐ,IMG/sp31
sp32,KASUGAMYCIN 2SL,thuoc_tru_benh,Kasugamycin: 20g/lít,Chai 100ml,"Trị bệnh vi khuẩn, cháy bìa lá, thối nhũn, đốm lá vi khuẩn","Lá cháy mép, vết bệnh ướt nước, mô cây mềm nhũn","Vi khuẩn Xanthomonas, Erwinia phát triển khi ẩm cao","Lúa, rau cải, hành, ớt, cà chua","Khi bệnh mới xuất hiện, sau mưa kéo dài",Pha 15-25ml/bình 16 lít; phun 2 lần cách 5-7 ngày,Không lạm dụng kháng sinh nông nghiệp; dùng đúng nhãn,Khoảng 55.000 - 85.000 VNĐ,IMG/sp32
sp33,VALIDAMYCIN 5SL,thuoc_tru_benh,Validamycin A: 50g/lít,Chai 500ml,"Đặc trị khô vằn lúa, nấm hại bẹ và thân","Bẹ lúa có vết loang hình mắt cua, ruộng cháy từng đám","Nấm Rhizoctonia solani phát triển khi ruộng rậm, thừa đạm","Lúa, một số rau màu","Giai đoạn lúa đẻ nhánh rộ đến làm đòng, khi bệnh chớm",Pha 30-40ml/bình 16 lít hoặc dùng theo liều ruộng lúa trên nhãn,Giữ mực nước hợp lý; không bón thừa đạm,Khoảng 65.000 - 100.000 VNĐ,IMG/sp33
sp34,CARBENDAZIM 500FL,thuoc_tru_benh,Carbendazim: 500g/lít,Chai 500ml,"Trừ thán thư, đốm lá, héo rũ do nấm, nấm hại hạt giống","Vết bệnh nâu đen trên lá, trái; cây con chết rạp","Nấm Colletotrichum, Fusarium, Cercospora","Xoài, thanh long, rau màu, đậu, cây ăn trái",Khi bệnh mới xuất hiện hoặc xử lý hạt giống trước gieo,Pha 10-20ml/bình 16 lít; xử lý theo nhãn từng mục đích,Luân phiên hoạt chất; không dùng quá liều để tránh tồn dư,Khoảng 70.000 - 110.000 VNĐ,IMG/sp34
sp35,TEBUCONAZOLE 250EW,thuoc_tru_benh,Tebuconazole: 250g/lít,Chai 100ml,"Trừ lem lép hạt, rỉ sắt, phấn trắng, thán thư","Bông lúa lem đen, hạt lép; lá có nấm trắng hoặc rỉ sắt","Nấm bệnh tấn công giai đoạn ra hoa, trổ bông, nuôi trái","Lúa, đậu phộng, cây ăn trái, rau màu","Trước trổ, sau trổ 5-7 ngày hoặc khi bệnh chớm",Pha 10-15ml/bình 16 lít,Không phun lúc cây đang thiếu nước nặng; tránh phun giữa trưa,Khoảng 60.000 - 95.000 VNĐ,IMG/sp35
sp36,GLYPHOSATE 480SL,thuoc_tru_co,Glyphosate IPA salt: 480g/lít,Chai 1 lít,"Trừ cỏ không chọn lọc, diệt cỏ lâu năm qua lá","Cỏ tranh, cỏ ống, cỏ lá rộng mọc dày trong vườn","Cỏ cạnh tranh dinh dưỡng, ánh sáng, nước với cây trồng","Vườn cây ăn trái, cao su, cà phê, đất trước gieo trồng","Phun khi cỏ đang sinh trưởng mạnh, cao 15-30cm",Pha 80-120ml/bình 16 lít; phun ướt đều lá cỏ,"Tránh để thuốc dính lá, thân xanh cây trồng; không phun lúc gió mạnh",Khoảng 95.000 - 140.000 VNĐ,IMG/sp36
sp37,PARAQUAT 276SL,thuoc_tru_co,Paraquat dichloride: 276g/lít,Chai 1 lít,"Trừ cỏ tiếp xúc, làm cháy nhanh phần xanh của cỏ","Cỏ non, cỏ lá rộng, cỏ hòa bản mọc trên mặt đất",Cỏ cạnh tranh dinh dưỡng và là nơi trú sâu bệnh,"Vườn cây lâu năm, bờ ruộng, đất không canh tác","Khi cỏ còn non, phun tránh cây trồng",Pha theo nhãn; chỉ dùng khi sản phẩm được phép lưu hành tại địa phương,"Rất độc, bắt buộc đồ bảo hộ đầy đủ; không dùng sai quy định pháp luật",Khoảng 100.000 - 160.000 VNĐ,IMG/sp37
sp38,BUTACHLOR 600EC,thuoc_tru_co,Butachlor: 600g/lít,Chai 1 lít,Trừ cỏ tiền nảy mầm và hậu nảy mầm sớm trên ruộng lúa,"Cỏ lồng vực, cỏ chác, cỏ lá rộng mọc sau sạ","Hạt cỏ nảy mầm cùng lúa, cạnh tranh dinh dưỡng","Lúa sạ, lúa cấy","Sau sạ 1-4 ngày, ruộng đủ ẩm hoặc có nước mỏng","Pha 40-60ml/bình 16 lít hoặc dùng 1-1,5 lít/ha tùy nhãn","Không dùng khi lúa yếu, ruộng khô nứt; giữ nước đúng kỹ thuật",Khoảng 120.000 - 180.000 VNĐ,IMG/sp38
sp39,PRETILACHLOR 300EC,thuoc_tru_co,Pretilachlor: 300g/lít; chất an toàn cây trồng,Chai 1 lít,"Trừ cỏ tiền nảy mầm trên lúa, an toàn khi dùng đúng liều","Cỏ lồng vực, cỏ đuôi phụng, cỏ lá rộng mới mọc",Cỏ nảy mầm trong giai đoạn đầu sau sạ,"Lúa sạ ướt, lúa cấy","Sau sạ 1-3 ngày, trước khi cỏ mọc mạnh","Dùng 0,8-1,2 lít/ha; phun khi ruộng đủ ẩm",Không phun khi mưa lớn sắp xảy ra; không để nước ngập sâu sau phun,Khoảng 130.000 - 190.000 VNĐ,IMG/sp39
sp40,"2,4-D 720SL",thuoc_tru_co,"2,4-D dimethylamine salt: 720g/lít",Chai 500ml,"Trừ cỏ lá rộng, cỏ chác lác trong ruộng lúa","Cỏ lá rộng mọc chen lúa, cạnh tranh ánh sáng và dinh dưỡng","Cỏ dại phát triển sau sạ, đặc biệt nơi ruộng thưa","Lúa, bãi cỏ theo hướng dẫn nhãn","Sau sạ 15-25 ngày, khi lúa đã cứng cây",Pha 20-30ml/bình 16 lít; phun tránh gió tạt sang cây mẫn cảm,"Không phun gần rau màu, bông, cây ăn trái non; dễ gây dị dạng cây mẫn cảm",Khoảng 45.000 - 70.000 VNĐ,IMG/sp40
sp41,BISPYRIBAC-SODIUM 10SC,thuoc_tru_co,Bispyribac-sodium: 100g/lít,Chai 100ml,"Trừ cỏ hậu nảy mầm trên ruộng lúa, cỏ hòa bản và lá rộng","Cỏ lồng vực, cỏ đuôi phụng, cỏ chác mọc lẫn lúa","Cỏ đã mọc sau sạ, cạnh tranh mạnh với lúa non",Lúa sạ,"Sau sạ 8-18 ngày, khi cỏ 2-4 lá","Pha 20-30ml/bình 16 lít; rút cạn nước trước phun, cho nước lại sau 1-2 ngày","Không phun khi lúa bị ngộ độc phèn, mặn hoặc rét",Khoảng 70.000 - 110.000 VNĐ,IMG/sp41
sp42,GA3 10SP,thuoc_kich_thich_sinh_truong,Gibberellic acid GA3: 10% w/w,Gói 10g,"Kích thích kéo dài tế bào, tăng sinh trưởng, hỗ trợ ra hoa đậu trái tùy cây","Cây chậm lớn, chồi ngắn, hoa nở không đồng đều",Thiếu cân bằng hormone sinh trưởng hoặc điều kiện thời tiết bất lợi,"Nho, lúa giống, rau, hoa, cây ăn trái theo khuyến cáo","Giai đoạn cần kích chồi, kéo gié, xử lý ra hoa tùy cây",Pha 1-2g/100 lít nước tùy mục đích; cần theo đúng khuyến cáo từng cây,"Dùng quá liều dễ làm cây vống, yếu; không pha tùy tiện",Khoảng 25.000 - 45.000 VNĐ,IMG/sp42
